episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
42084,525,9,cramped_room,8.66,8.326666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42085,516,9,cramped_room,8.65,8.323333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,11,7,2,1,9,9,0,180,156,0.0,1.0,0.0,1.0,1.0
42086,501,9,cramped_room,8.64,8.32,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,18,2,8,3,9,9,0,180,141,0.0,1.0,0.0,1.0,1.0
42087,530,9,cramped_room,8.62,8.313333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,10,9,0,180,170,0.0,1.0,0.0,1.0,1.0
42088,525,9,cramped_room,8.62,8.313333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42089,570,10,cramped_room,8.62,8.313333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,31,0,0,30,30,30,0,0,10,10,0,0,10,10,0,200,170,0.0,1.0,0.0,1.0,1.0
42090,525,9,cramped_room,8.62,8.313333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,31,1,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42091,573,10,cramped_room,8.62,8.313333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,31,0,0,31,31,31,0,0,10,10,0,0,10,10,0,200,173,0.0,1.0,0.0,1.0,1.0
42092,510,9,cramped_room,8.62,8.313333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,30,1,1,30,30,30,0,0,15,5,6,1,9,9,0,180,150,0.0,0.9772727272727273,0.0,1.0,1.0
42093,516,9,cramped_room,8.61,8.31,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,0,0,30,30,30,0,0,13,7,4,0,9,9,0,180,156,0.0,0.9666666666666667,0.0,1.0,1.0
42094,525,9,cramped_room,8.6,8.306666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42095,507,9,cramped_room,8.59,8.303333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,18,4,9,4,9,9,0,180,147,0.0,1.0,0.0,1.0,1.0
42096,570,10,cramped_room,8.59,8.303333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,10,10,0,200,170,0.0,1.0,0.0,1.0,1.0
42097,516,9,cramped_room,8.58,8.299999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,15,7,5,2,9,9,0,180,156,0.0,1.0,0.0,1.0,1.0
